min_latency,p50_latency,p99_latency,p999_latency,rpc_rate,set_rpc_rate
4210,6500,9513,39260,1.04113e+06,2500000
4210,6529,9982,17312,2.31791e+06,2500000
4210,6519,9907,15136,2.3055e+06,2500000
4210,6525,9848,14483,2.29847e+06,2500000
4210,6534,9824,12307,2.30369e+06,2500000
4210,6517,9683,12993,2.30229e+06,2500000
4210,6515,9657,13076,2.30392e+06,2500000
4210,6541,10114,14906,2.29831e+06,2500000
4210,6540,10140,31405,2.30402e+06,2500000
4210,6546,10205,20414,2.29857e+06,2500000
4210,6538,9986,19308,2.30414e+06,2500000
4210,6534,9905,22083,2.29864e+06,2500000
4210,6524,9718,12412,2.30364e+06,2500000
4210,6520,9733,12341,2.29887e+06,2500000
4210,6527,9818,12858,2.2996e+06,2500000
4210,6534,9864,12777,2.30464e+06,2500000
4210,6523,9851,13385,2.29904e+06,2500000
4210,6522,9777,30447,2.29977e+06,2500000
4210,6526,9903,19386,2.3009e+06,2500000
