min_latency,p50_latency,p99_latency,p999_latency,rpc_rate,set_rpc_rate
4642,5366,6033,9778,145667,300000
4642,5335,5980,8296,302192,300000
4642,5366,6000,8004,315466,300000
4642,5392,6022,8259,317550,300000
4642,5397,6012,8630,317678,300000
4642,5395,6008,8884,317270,300000
4642,5398,6001,8253,316756,300000
4642,5396,6007,8180,317328,300000
4642,5397,6003,8112,316596,300000
4642,5397,6000,8155,316538,300000
4642,5398,6006,8134,317128,300000
4642,5401,6012,8320,316540,300000
4642,5400,6010,8755,316472,300000
4642,5397,6008,8431,317228,300000
4642,5400,6011,8359,316688,300000
4642,5399,6003,8173,316871,300000
4642,5398,6000,8156,316576,300000
4642,5399,6000,8043,317294,300000
4642,5399,6006,8316,316550,300000
