min_latency,p50_latency,p99_latency,p999_latency,rpc_rate,set_rpc_rate
5689,6276,7956,12624,145814,300000
5680,6248,7912,12502,302392,300000
5673,6235,7989,13874,316246,300000
5673,6248,8080,81564,318589,300000
5667,6250,8030,49902,318384,300000
5657,6242,8003,77227,318206,300000
5657,6251,7988,609286,317584,300000
5657,6275,7977,111801,318308,300000
5657,6315,8086,391508,317561,300000
5657,6322,8364,1217294,317676,300000
5657,6320,8323,896031,319478,300000
5657,6321,8208,1585764,317764,300000
5657,6322,8286,1921211,317664,300000
5657,6320,8223,1976829,318375,300000
5657,6326,8093,1318879,317696,300000
5657,6329,8208,1939857,317672,300000
5657,6328,8440,2084207,317674,300000
5657,6324,8156,1528500,318399,300000
5657,6319,8220,2216358,317670,300000
5807,6735,9393,14118,285528,600000
5769,6721,9315,13329,606166,600000
5769,6732,9324,524578,625962,600000
5768,6737,9301,477558,624724,600000
5758,6721,9343,490190,624761,600000
5758,6728,9363,1212580,624744,600000
5758,6734,9340,949812,624708,600000
5758,6732,9381,1424308,624944,600000
5758,6740,9629,2526506,623019,600000
5758,6725,9352,1549597,624654,600000
5758,6724,9380,2109776,623242,600000
5737,6722,9417,1793478,624270,600000
5737,6728,9395,2247173,624382,600000
5737,6741,9646,3287352,622676,600000
5737,6729,9476,2340550,623060,600000
5737,6723,9543,2743304,624526,600000
5737,6721,9469,3089049,623348,600000
5737,6729,9395,416087,622558,600000
5705,6715,9446,2745044,623269,600000
5035,7704,10800,16064,463425,1000000
5035,7654,10585,14357,1.02003e+06,1000000
5035,7467,10631,1100075,1.02467e+06,1000000
5035,7466,10721,1916492,1.02429e+06,1000000
5035,7207,10664,2200390,1.02339e+06,1000000
5035,7211,10734,2566647,1.02311e+06,1000000
5020,7207,10642,385360,1.02147e+06,1000000
5020,7197,10690,2373420,1.02382e+06,1000000
5020,7196,10436,232585,1.01978e+06,1000000
5020,7199,10356,153111,1.02409e+06,1000000
5020,7196,10353,86411,1.0218e+06,1000000
5020,7188,10321,80194,1.0193e+06,1000000
4875,7192,10285,71011,1.01985e+06,1000000
4875,7187,10319,54150,1.01946e+06,1000000
4875,7184,10341,49096,1.02179e+06,1000000
4875,7182,10316,30642,1.02334e+06,1000000
4875,7179,10252,13419,1.02076e+06,1000000
4875,7170,10242,13795,1.02148e+06,1000000
5160,7955,11778,17477,670169,1500000
5160,7947,11496,16772,1.49589e+06,1500000
