Min latency (ns),Median latency (ns),p99 latency (ns),p999 latency (ns),rpc_rate (rpc/sec), set_rpc_rate
5171,5547,8019,12706,9991,10000
5171,5513,7987,73135,10088,10000
5171,5503,7930,12097,10084,10000
5171,5505,8025,2796576,10111,10000
5171,5525,8005,1797218,10144,10000
5171,5538,7985,1084671,10160,10000
5171,5546,7961,896665,10177,10000
5171,5555,7951,696546,10171,10000
5171,5558,7964,596489,10199,10000
5171,5560,7953,422222,10214,10000
5171,5559,7944,297839,10213,10000
5171,5558,7941,285570,10246,10000
5171,5557,7924,174350,10249,10000
5171,5556,7919,171976,10283,10000
5171,5557,7918,97530,10296,10000
5171,5557,7918,98023,10301,10000
5171,5559,7911,76546,10315,10000
5171,5561,7916,77509,10330,10000
5171,5562,7918,61840,10337,10000
5171,5564,7915,61840,10368,10000
5171,5565,7908,44763,10372,10000
5171,5565,7908,46243,10398,10000
5171,5565,7905,28774,10416,10000
5171,5565,7907,35922,10441,10000
5171,5564,7903,24067,10463,10000
5171,5563,7893,17484,10457,10000
5171,5563,7892,19828,10483,10000
5171,5563,7896,14193,10498,10000
5171,5563,7897,15113,10523,10000
5171,5564,7892,13913,10533,10000
5171,5566,7894,14034,10568,10000
5171,5567,7892,13430,10573,10000
5171,5568,7894,13619,10573,10000
5171,5568,7887,13167,10604,10000
5171,5568,7888,13619,10616,10000
5171,5568,7889,13167,10640,10000
5540,7116,26936,26936,4,50000
5171,5476,7935,461742,49942,50000
5171,5478,7950,27222,50591,50000
5155,5468,7992,181501,50878,50000
5155,5468,7960,30445,51371,50000
5152,5467,7961,171256,51783,50000
5136,5465,7934,49870,52196,50000
5136,5467,7923,67335,52641,50000
5136,5466,7892,18933,53008,50000
5136,5466,7886,28335,53439,50000
5136,5466,7874,12648,53865,50000
5136,5465,7880,13645,53853,50000
5136,5465,7879,15635,54625,50000
5136,5465,7888,18141,55103,50000
5136,5465,7894,12837,55555,50000
5136,5465,7898,14139,55746,50000
5136,5465,7889,12518,56374,50000
5136,5465,7888,13004,56932,50000
5136,5465,7886,12186,57197,50000
5132,5465,7883,12735,57714,50000
5132,5468,7878,11765,58023,50000
5132,5473,7879,12371,58086,50000
5132,5479,7870,11393,57697,50000
5132,5483,7866,11036,57754,50000
5132,5488,7868,11021,57805,50000
5132,5492,7875,10977,57805,50000
5132,5497,7883,11067,57769,50000
5132,5502,7894,11134,57950,50000
5132,5506,7896,11127,57735,50000
5132,5511,7905,11469,57693,50000
5132,5516,7902,11250,57723,50000
5132,5519,7898,11216,57779,50000
5132,5524,7894,10759,57780,50000
5132,5528,7898,10812,57666,50000
5132,5533,7902,10941,58043,50000
5195,5491,7716,10886,79395,80000
5157,5467,7675,9739,81307,80000
5150,5465,7687,10890,82240,80000
5132,5463,7706,11469,83193,80000
5132,5458,7700,12532,84077,80000
5132,5460,7706,16031,85083,80000
5132,5460,7688,11918,86355,80000
5132,5459,7687,13487,87257,80000
5132,5458,7697,16249,88423,80000
5132,5458,7707,20735,89303,80000
5132,5460,7715,29817,90492,80000
5132,5458,7836,2064059,91827,80000
5132,5462,7848,2064059,92423,80000
5132,5471,7849,2064059,92170,80000
5132,5480,7857,2064059,92031,80000
5132,5488,7864,2064059,91993,80000
5146,5480,7885,9470,99084,100000
5136,5463,7851,9147,101670,100000
5114,5457,7866,10165,103103,100000
5114,5454,7877,11279,104605,100000
5114,5451,7874,12039,106346,100000
5114,5450,7871,13243,108084,100000
5114,5456,7870,11447,109738,100000
5114,5465,7881,11981,111450,100000
5114,5473,7890,12311,113272,100000
5114,5478,7896,13695,114914,100000
5114,5487,7908,47698,116088,100000
5114,5497,7916,51258,115833,100000
5114,5506,7923,58909,115075,100000
5114,5514,7940,66539,115580,100000
5114,5522,7944,37649,114717,100000
5114,5526,7942,44595,115024,100000
5114,5527,7937,40385,115166,100000
5114,5528,7945,75098,115719,100000
5114,5528,7932,34539,115177,100000
5114,5530,7938,40247,115042,100000
5544,6210,44768,44768,9,100000
5139,5497,7873,10672,99539,100000
5139,5478,7853,9700,101731,100000
5130,5468,7842,9571,103239,100000
5127,5464,7821,9406,104805,100000
5127,5463,7827,9389,106313,100000
5127,5461,7836,9732,108043,100000
5127,5460,7838,10084,109920,100000
5127,5460,7837,10077,111370,100000
5127,5459,7844,10528,113431,100000
5127,5465,7844,10313,114356,100000
5127,5475,7858,10847,115914,100000
5127,5485,7865,10634,115756,100000
5127,5495,7891,11459,114442,100000
5146,5483,7911,14663,196264,200000
5128,5456,7853,11005,205181,200000
5117,5449,7844,9753,211222,200000
5117,5447,7835,9526,217674,200000
5117,5444,7839,10903,224365,200000
5117,5448,7861,11255,229665,200000
5117,5460,7890,12537,229824,200000
5117,5475,7937,67352,228445,200000
5117,5496,7957,57234,228362,200000
5117,5508,7972,49955,229678,200000
5117,5510,7976,57224,228708,200000
5117,5511,7968,13099,228500,200000
5117,5512,7981,65072,229266,200000
5117,5513,7983,67449,228510,200000
5120,5451,8251,9742,387222,400000
5096,5439,8265,12398,415985,400000
5096,5455,8280,11196,441182,400000
5096,5488,8320,11365,454111,400000
5096,5496,8341,77306,454030,400000
5096,5495,8337,60072,453120,400000
5096,5497,8338,62462,451517,400000
5096,5497,8326,11765,451741,400000
5096,5498,8359,5808789,451396,400000
5096,5499,8387,5808789,451781,400000
5096,5499,8332,11643,453037,400000
5096,5499,8345,83530,451528,400000
5425,17735,42616,42616,3,300000
5135,5491,7921,9886,292742,300000
5115,5470,7966,100713,309850,300000
5115,5463,7935,14168,323816,300000
5095,5450,7949,416770,339346,300000
5095,5452,7948,665808,342962,300000
5095,5479,7967,665808,344782,300000
5095,5505,8068,2352999,340510,300000
5095,5525,8035,1352057,341081,300000
5095,5525,8059,1355451,342370,300000
5095,5526,7971,13123,341062,300000
5095,5527,7981,13170,340874,300000
5095,5526,7975,11921,340780,300000
5095,5526,7960,10059,342431,300000
5095,5526,7973,11772,340862,300000
5095,5527,7962,10178,341224,300000
5095,5527,7970,12183,340766,300000
5095,5528,7954,10064,340281,300000
5095,5526,7967,11738,342563,300000
5095,5525,7948,9921,338968,300000
5095,5524,7960,11580,339019,300000
5095,5525,7948,9911,341238,300000
5095,5527,7967,12603,341302,300000
5095,5526,7956,10053,341242,300000
5095,5526,7957,10018,341351,300000
5095,5525,7942,9552,342905,300000
5095,5526,7960,10104,339255,300000
5095,5528,7958,9984,341129,300000
5095,5528,7968,12084,341246,300000
5095,5528,7957,10047,341178,300000
5095,5526,7970,12345,340725,300000
5095,5525,7960,10047,341214,300000
5333,8557,33954,33954,23,600000
5123,5459,8114,10073,573944,600000
5123,5470,8187,313113,632465,600000
5123,5500,8143,9866,673295,600000
5123,5500,8205,17126,672802,600000
5123,5499,8149,10026,671837,600000
5123,5503,8317,1298972,670000,600000
5123,5501,8164,9898,668036,600000
5123,5500,8212,60141,668809,600000
5123,5500,8132,9914,670269,600000
5123,5502,8216,39135,664934,600000
5123,5502,8217,38161,667992,600000
